States,Donald Trump,Hillary Clinton
Alabama,62.89%,34.55%
Alaska,52.89%,37.72%
American Samoa,0.00%,0.00%
Arizona,49.03%,45.46%
Arkansas,60.59%,33.65%
California,32.67%,61.66%
Colorado,43.27%,48.15%
Connecticut,41.73%,53.86%
Delaware,41.92%,53.35%
District of Columbia,4.07%,90.48%
Florida,49.02%,47.82%
Georgia,51.05%,45.89%
Guam,0.00%,0.00%
Hawaii,29.40%,61.00%
Idaho,59.32%,27.46%
Illinois,39.41%,55.41%
Indiana,57.12%,37.87%
Iowa,51.21%,41.71%
Kansas,57.22%,36.13%
Kentucky,62.54%,32.69%
Louisiana,58.09%,38.44%
Maine,0.00%,0.00%
Maryland,34.79%,59.50%
Massachusetts,33.52%,60.81%
Michigan,47.60%,47.33%
Minnesota,44.93%,46.45%
Mississippi,58.32%,39.74%
Missouri,56.88%,37.84%
Montana,56.52%,35.97%
Nebraska,0.00%,0.00%
Nevada,45.50%,47.92%
New Hampshire,47.25%,47.62%
New Jersey,42.03%,54.77%
New Mexico,40.05%,48.26%
New York,36.84%,57.89%
North Carolina,49.88%,46.14%
North Dakota,62.96%,27.23%
Northern Mariana Islands,0.00%,0.00%
Ohio,52.06%,43.51%
Oklahoma,65.33%,28.93%
Oregon,39.11%,50.10%
Pennsylvania,48.70%,47.74%
Puerto Rico,0.00%,0.00%
Rhode Island,39.46%,53.83%
South Carolina,54.94%,40.67%
South Dakota,61.53%,31.74%
Tennessee,61.06%,34.90%
Texas,52.43%,43.32%
US Virgin Islands,0.00%,0.00%
Utah,46.80%,27.81%
Vermont,32.64%,61.12%
Virginia,44.43%,49.75%
Washington,38.06%,54.34%
West Virginia,68.65%,26.47%
Wisconsin,47.87%,46.94%
Wyoming,68.20%,21.90%
