States,Donald Trump,Hillary Clinton
Alabama,43.00%,77.80%
Alaska,34.00%,20.20%
American Samoa,0.00%,43.10%
Arizona,46.00%,56.30%
Arkansas,33.00%,66.10%
California,75.00%,53.10%
Colorado,0.00%,62.50%
Connecticut,58.00%,51.80%
Delaware,61.00%,59.80%
District of Columbia,14.00%,78.00%
Florida,46.00%,64.40%
Georgia,39.00%,71.30%
Guam,0.00%,59.50%
Hawaii,43.00%,30.00%
Idaho,28.00%,21.20%
Illinois,39.00%,50.60%
Indiana,53.00%,47.50%
Iowa,24.00%,49.80%
Kansas,23.00%,32.30%
Kentucky,36.00%,46.80%
Louisiana,41.00%,71.10%
Maine,33.00%,35.50%
Maryland,54.00%,62.50%
Massachusetts,49.00%,49.70%
Michigan,37.00%,48.30%
Minnesota,21.00%,38.40%
Mississippi,47.00%,82.50%
Missouri,41.00%,49.60%
Montana,74.00%,44.20%
Nebraska,61.00%,53.10%
Nevada,46.00%,52.60%
New Hampshire,35.00%,37.70%
New Jersey,80.00%,63.30%
New Mexico,71.00%,51.50%
New York,59.00%,57.50%
North Carolina,40.00%,54.50%
North Dakota,0.00%,25.60%
Northern Mariana Islands,73.00%,54.00%
Ohio,36.00%,56.10%
Oklahoma,28.00%,41.50%
Oregon,64.00%,42.10%
Pennsylvania,57.00%,55.60%
Puerto Rico,13.00%,59.70%
Rhode Island,63.00%,43.10%
South Carolina,33.00%,73.40%
South Dakota,67.00%,51.00%
Tennessee,39.00%,66.10%
Texas,27.00%,65.20%
US Virgin Islands,6.00%,87.12%
Utah,14.00%,20.30%
Vermont,32.00%,13.60%
Virginia,35.00%,64.30%
Washington,75.00%,52.40%
West Virginia,77.00%,35.80%
Wisconsin,35.00%,43.10%
Wyoming,7.00%,56.10%
